fen,cp
r1b2b1r/pppq1kpp/1n2p3/5p2/3PP3/1P3BP1/P1P2P1P/RNBQ1RK1 w - - 0 13,367
r1b2b1r/pppq1kpp/1n2p3/5p2/3PP3/1PN2BP1/P1P2P1P/R1BQ1RK1 b - - 1 13,-334
r1b4r/pppq1kpp/1n2p3/5p2/1b1PP3/1PN2BP1/P1P2P1P/R1BQ1RK1 w - - 2 14,360
r1b4r/pppq1kpp/1n2p3/5p2/1b1PP3/1PN2BP1/PBP2P1P/R2Q1RK1 b - - 3 14,-341
r1b3kr/pppq2pp/1n2p3/5p2/1b1PP3/1PN2BP1/PBP2P1P/R2Q1RK1 w - - 4 15,373
r1b3kr/pppq2pp/1n2p3/5P2/1b1P4/1PN2BP1/PBP2P1P/R2Q1RK1 b - - 0 15,-366
r1b3kr/pppq2pp/1n6/5p2/1b1P4/1PN2BP1/PBP2P1P/R2Q1RK1 w - - 0 16,360
r1b3kr/pppq2pp/1n6/5p2/1b1P4/1PNQ1BP1/PBP2P1P/R4RK1 b - - 1 16,-327
r1b3kr/pppqb1pp/1n6/5p2/3P4/1PNQ1BP1/PBP2P1P/R4RK1 w - - 2 17,400
r1b3kr/pppqb1pp/1n6/5p2/3P4/1PNQ1BP1/PBP2P1P/3R1RK1 b - - 3 17,-378
r1b3kr/pppq2pp/1n1b4/5p2/3P4/1PNQ1BP1/PBP2P1P/3R1RK1 w - - 4 18,426
r1b3kr/pppq2pp/1n1b4/5p2/3P4/1PNQ1BP1/PBP2P1P/3RR1K1 b - - 5 18,-390
r1b3kr/pppq2p1/1n1b3p/5p2/3P4/1PNQ1BP1/PBP2P1P/3RR1K1 w - - 0 19,475
r1b3kr/pppq2p1/1n1b3p/3N1p2/3P4/1P1Q1BP1/PBP2P1P/3RR1K1 b - - 1 19,-368
r1b3kr/ppp2qp1/1n1b3p/3N1p2/3P4/1P1Q1BP1/PBP2P1P/3RR1K1 w - - 2 20,380
r1b3kr/ppp2qp1/1N1b3p/5p2/3P4/1P1Q1BP1/PBP2P1P/3RR1K1 b - - 0 20,-254
r1b3kr/1pp2qp1/1p1b3p/5p2/3P4/1P1Q1BP1/PBP2P1P/3RR1K1 w - - 0 21,268
r1b3kr/1pp2qp1/1p1b3p/5p2/P2P4/1P1Q1BP1/1BP2P1P/3RR1K1 b - - 0 21,-253
1rb3kr/1pp2qp1/1p1b3p/5p2/P2P4/1P1Q1BP1/1BP2P1P/3RR1K1 w - - 1 22,280
1rb3kr/1pp2qp1/1p1b3p/5p2/P1PP4/1P1Q1BP1/1B3P1P/3RR1K1 b - - 0 22,-263
1rb3kr/1pp3p1/1p1b1q1p/5p2/P1PP4/1P1Q1BP1/1B3P1P/3RR1K1 w - - 1 23,440
1rb3kr/1pp3p1/1p1b1q1p/5p2/P1PP4/1P3BP1/1BQ2P1P/3RR1K1 b - - 2 23,-349
1rb3kr/1pp3p1/1p1b3p/5pq1/P1PP4/1P3BP1/1BQ2P1P/3RR1K1 w - - 3 24,583
1rb3kr/1pp3p1/1p1b3p/2P2pq1/P2P4/1P3BP1/1BQ2P1P/3RR1K1 b - - 0 24,-538
1rb3kr/1pp3p1/3b3p/2p2pq1/P2P4/1P3BP1/1BQ2P1P/3RR1K1 w - - 0 25,624
1rb3kr/1pp3p1/3b3p/2P2pq1/P7/1P3BP1/1BQ2P1P/3RR1K1 b - - 0 25,-687
1rb2bkr/1pp3p1/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/3RR1K1 w - - 1 26,624
1rb1Rbkr/1pp3p1/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/3R2K1 b - - 2 26,-547
1rb1Rb1r/1pp3pk/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/3R2K1 w - - 3 27,560
1rbRRb1r/1pp3pk/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/6K1 b - - 4 27,-602
1rbRRbkr/1pp3p1/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/6K1 w - - 5 28,896
1rbR1R1r/1pp3pk/7p/2P2pq1/P7/1P3BP1/1BQ2P1P/6K1 w - - 1 29,920
1rbR3R/1pp3p1/6kp/2P2pq1/P7/1P3BP1/1BQ2P1P/6K1 w - - 1 30,1033
1rbR3R/1pp3p1/6kp/2P2pq1/P7/1P3BP1/1B2QP1P/6K1 b - - 2 30,-1282
1r1R3R/1ppb2p1/6kp/2P2pq1/P7/1P3BP1/1B2QP1P/6K1 w - - 3 31,1504
1r5R/1ppR2p1/6kp/2P2pq1/P7/1P3BP1/1B2QP1P/6K1 b - - 0 31,-9996
5r1R/1ppR2p1/6kp/2P2pq1/P7/1P3BP1/1B2QP1P/6K1 w - - 1 32,9999
rnbqkbnr/p1p1pppp/1p6/3p4/6P1/2N5/PPPPPPBP/R1BQK1NR b KQkq - 1 3,31
rn1qkbnr/p1p1pppp/1p2b3/3p4/6P1/2N5/PPPPPPBP/R1BQK1NR w KQkq - 2 4,98
rn1qkbnr/p1p1pppp/1p2b3/3p4/5PP1/2N5/PPPPP1BP/R1BQK1NR b KQkq - 0 4,-68
rn1qkbnr/p3pppp/1p2b3/2pp4/5PP1/2N5/PPPPP1BP/R1BQK1NR w KQkq - 0 5,165
rn1qkbnr/p3pppp/1p2b3/2pp4/4PPP1/2N5/PPPP2BP/R1BQK1NR b KQkq - 0 5,-147
rn1qkb1r/p3pppp/1p2bn2/2pp4/4PPP1/2N5/PPPP2BP/R1BQK1NR w KQkq - 1 6,235
rn1qkb1r/p3pppp/1p2bn2/2pp1P2/4P1P1/2N5/PPPP2BP/R1BQK1NR b KQkq - 0 6,-222
