fen,cp
rn1qkb1r/p3pppp/1p2bn2/2pp1P2/4P1P1/2N5/PPPP2BP/R1BQK1NR b KQkq - 0 6,-241
rn1qkb1r/p3pppp/1p2bn2/2p2P2/3pP1P1/2N5/PPPP2BP/R1BQK1NR w KQkq - 0 7,355
rn1qkb1r/p3pppp/1p2Pn2/2p5/3pP1P1/2N5/PPPP2BP/R1BQK1NR b KQkq - 0 7,-385
rn1qkb1r/p3pppp/1p2Pn2/2p5/4P1P1/2p5/PPPP2BP/R1BQK1NR w KQkq - 0 8,465
rn1qkb1r/p3pppp/1p2Pn2/2p5/4P1P1/2P5/P1PP2BP/R1BQK1NR b KQkq - 0 8,-306
r2qkb1r/p3pppp/1pn1Pn2/2p5/4P1P1/2P5/P1PP2BP/R1BQK1NR w KQkq - 1 9,409
r2qkb1r/p3pppp/1pn1Pn2/2p3P1/4P3/2P5/P1PP2BP/R1BQK1NR b KQkq - 0 9,-424
r2qkbnr/p3pppp/1pn1P3/2p3P1/4P3/2P5/P1PP2BP/R1BQK1NR w KQkq - 1 10,527
r2qkbnr/p3pppp/1pn1P3/2p1P1P1/8/2P5/P1PP2BP/R1BQK1NR b KQkq - 0 10,-549
r2qkbnr/p3pppp/1p2P3/2p1n1P1/8/2P5/P1PP2BP/R1BQK1NR w KQkq - 0 11,574
r2qkbnr/p3pppp/1p2P3/2p1n1P1/8/2P5/P1PPQ1BP/R1B1K1NR b KQkq - 1 11,-555
r2qkbnr/4pppp/1p2P3/p1p1n1P1/8/2P5/P1PPQ1BP/R1B1K1NR w KQkq - 0 12,733
r2qkbnr/3npppp/1p2P3/pQp3P1/8/2P5/P1PP2BP/R1B1K1NR w KQkq - 2 13,861
r3kbnr/3qpppp/1p6/pQp3P1/8/2P5/P1PP2BP/R1B1K1NR w KQkq - 0 14,784
r3kbnr/3qpppp/1pB5/pQp3P1/8/2P5/P1PP3P/R1B1K1NR b KQkq - 1 14,-826
4kbnr/r2qpppp/1pB5/pQp3P1/8/2P5/P1PP3P/R1B1K1NR w KQk - 2 15,876
